date,date_ran,price,price_num,query_id,title,type,url
Dec 12,2013/12/16,$125,125.0,2,vinyls and turntable with software,general - by owner,boston.craigslist.org/nwb/for/4241201971.html
Dec  9,2013/12/16,$10,10.0,2,turntable JVC,electronics - by owner,boston.craigslist.org/gbs/ele/4235618322.html
Dec 14,2013/12/16,$125,125.0,2,jvc belt drive turntable never used,electronics - by owner,boston.craigslist.org/nos/ele/4231863924.html
Dec 13,2013/12/16,$60,60.0,2,antique radio turntable,antiques - by owner,boston.craigslist.org/bmw/atq/4242890466.html
Dec 15,2013/12/16,$59,59.0,2,Yorx Stereo System w/Record Player / Turntable & Speakers,electronics - by owner,boston.craigslist.org/gbs/ele/4243262592.html
Dec 12,2013/12/16,$220,220.0,2,Vinyl Record 33 LP's and SONY TURNTABLE,collectibles - by owner,boston.craigslist.org/nos/clt/4241243126.html
Dec 15,2013/12/16,$70,70.0,2,Vintage Dual Turntable ,electronics - by owner,boston.craigslist.org/sob/ele/4240556950.html
Dec 16,2013/12/16,$50,50.0,2,Turntable CD Changer,electronics - by owner,boston.craigslist.org/nos/ele/4241077625.html
Dec 14,2013/12/16,$850,850.0,2,Technics Turntable  1200 M3D,electronics - by owner,boston.craigslist.org/gbs/ele/4243470778.html
Dec 15,2013/12/16,$99,99.0,2,Technics SL-QD35 Turntable w/New Stylus Record Player Phonograph,electronics - by owner,boston.craigslist.org/gbs/ele/4243244749.html
Dec 15,2013/12/16,$50,50.0,2,Technics SL-B350 Turntable,electronics - by owner,boston.craigslist.org/gbs/ele/4245139500.html
Dec 12,2013/12/16,$350,350.0,2,Technics MK5 turntable for sale,electronics - by owner,boston.craigslist.org/gbs/ele/4240910661.html
Dec 13,2013/12/16,$850,850.0,2,Technics 1210 M5G Turntable w/ Shure M44-7 Cartridge,musical instruments - by owner,boston.craigslist.org/gbs/msg/4242329824.html
Dec 14,2013/12/16,$60,60.0,2,Realistic Stereo System w/Record Player / Turntable & Speakers,electronics - by owner,boston.craigslist.org/gbs/ele/4241786606.html
Dec 15,2013/12/16,$500,500.0,2,Phase Linear Mdl 8000 Turntable Rare and NM,electronics - by owner,boston.craigslist.org/sob/ele/4244748898.html
Dec 16,2013/12/16,$95,95.0,2,Onkyo CP-1027f Direct Drive Turntable,electronics - by owner,boston.craigslist.org/sob/ele/4247008489.html
Dec 13,2013/12/16,$70,70.0,2,Numark PT-01 USB Vinyl Archiver (Portable USB Turntable),electronics - by owner,boston.craigslist.org/gbs/ele/4242288175.html
Dec 14,2013/12/16,$250,250.0,2,Luxman turntable PD272,electronics - by owner,boston.craigslist.org/nwb/ele/4243649937.html
Dec 12,2013/12/16,$10,10.0,2,Infantino next steps musical toy piano with turntables,baby & kid stuff - by owner,boston.craigslist.org/sob/bab/4241541124.html
Dec 14,2013/12/16,$45,45.0,2,Crosley Record Player Turntable 1930's Look,electronics - by owner,boston.craigslist.org/gbs/ele/4237961244.html
Dec 14,2013/12/16,$125,125.0,2,Bang & Olufsen Beogram TX Turntable with MM4 Cartridge,electronics - by owner,boston.craigslist.org/gbs/ele/4243698383.html
Dec 16,2013/12/16,$250,250.0,2,Bang & Olufsen  Turntable Stand/Storage Cabinet,electronics - by owner,boston.craigslist.org/sob/ele/4247020895.html
Dec 14,2013/12/16,$60,60.0,2,Audio Technica Turntable Record Player w/Built-In Preamp/EQ/Equalizer,electronics - by owner,boston.craigslist.org/gbs/ele/4244575273.html
Dec 12,2013/12/16,$125,125.0,2,39 vinyls & turntable with software,electronics - by owner,boston.craigslist.org/nwb/ele/4241199931.html
Dec 12,2013/12/16,$125,125.0,2,39 Vinyls Plus newTurntable,general - by owner,boston.craigslist.org/nwb/for/4241213656.html
Dec  9,2013/12/16,$650,650.0,1,USED TECHNICS SL 1200 MK2 + Stanton Needle ,electronics - by owner,newyork.craigslist.org/mnh/ele/4237058022.html
Dec 12,2013/12/16,$500,500.0,1,Technics SL-1210MK2 turntable,electronics - by owner,newyork.craigslist.org/mnh/ele/4241461444.html
Dec 15,2013/12/16,$675,675.0,1,Technics SL-1200 MK5 Silver Turntable (USED),musical instruments - by owner,newyork.craigslist.org/que/msg/4245651359.html
Dec 11,2013/12/16,$4000,4000.0,1,Technics SL-1200 GOLD / LTD Turntables DMC Technics SH-DJ120 Mixer,electronics - by owner,newyork.craigslist.org/lgi/ele/4239846702.html
Dec 13,2013/12/16,$350,350.0,1,"Technics 1200, good condition. $350 cash only!!!",electronics - by owner,newyork.craigslist.org/que/ele/4241966227.html
Dec 16,2013/12/16,$350,350.0,1,Technics 1200 MK2 Turntable with Dust Cover (1),electronics - by owner,newyork.craigslist.org/mnh/ele/4231964746.html
