date,date_ran,price,price_num,query_id,title,type,url
Dec 12,2013/12/16,$125,125.0,2,vinyls and turntable with software,general - by owner,boston.craigslist.org/nwb/for/4241201971.html
Dec  9,2013/12/11,$20,20.0,2,turntable JVC,electronics - by owner,boston.craigslist.org/gbs/ele/4235618322.html
Dec  9,2013/12/16,$10,10.0,2,turntable JVC,electronics - by owner,boston.craigslist.org/gbs/ele/4235618322.html
Dec  8,2013/12/11,$100,100.0,2,professional touring turntable cases,musical instruments - by owner,boston.craigslist.org/sob/msg/4234899101.html
Dec  5,2013/12/11,$200,200.0,2,pioneer pl-l800d turntable,electronics - by dealer,boston.craigslist.org/gbs/eld/4221386001.html
Dec  5,2013/12/11,$60,60.0,2,philips af-777 turntable,electronics - by owner,boston.craigslist.org/nwb/ele/4221549553.html
Dec  6,2013/12/11,$250,250.0,2,jvc belt drive turntable never used,electronics - by owner,boston.craigslist.org/nos/ele/4231863924.html
Dec 14,2013/12/16,$125,125.0,2,jvc belt drive turntable never used,electronics - by owner,boston.craigslist.org/nos/ele/4231863924.html
Dec 13,2013/12/16,$60,60.0,2,antique radio turntable,antiques - by owner,boston.craigslist.org/bmw/atq/4242890466.html
Dec 15,2013/12/16,$59,59.0,2,Yorx Stereo System w/Record Player / Turntable & Speakers,electronics - by owner,boston.craigslist.org/gbs/ele/4243262592.html
Dec 12,2013/12/16,$220,220.0,2,Vinyl Record 33 LP's and SONY TURNTABLE,collectibles - by owner,boston.craigslist.org/nos/clt/4241243126.html
Dec  9,2013/12/11,$35,35.0,2,Vintage turntable record player,electronics - by owner,boston.craigslist.org/gbs/ele/4237121752.html
Dec  9,2013/12/11,$95,95.0,2,"Vintage Onyo Stereo, Altec Speakers and Yamaha Turntable",electronics - by owner,boston.craigslist.org/bmw/ele/4237071991.html
Dec 15,2013/12/16,$70,70.0,2,Vintage Dual Turntable ,electronics - by owner,boston.craigslist.org/sob/ele/4240556950.html
Dec  9,2013/12/11,$30,30.0,2,Turntable for LP's,collectibles - by owner,boston.craigslist.org/gbs/clt/4236246420.html
Dec  6,2013/12/11,$55,55.0,2,Turntable Conversion System,electronics - by owner,boston.craigslist.org/nwb/ele/4232236182.html
Dec 11,2013/12/11,$20,20.0,2,Turntable Cartridges / Needles,general - by owner,boston.craigslist.org/gbs/for/4211429791.html
Dec 16,2013/12/16,$50,50.0,2,Turntable CD Changer,electronics - by owner,boston.craigslist.org/nos/ele/4241077625.html
Dec 11,2013/12/11,$9,9.0,2,Turn Multipurpose Turntable/Swivel -,furniture - by owner,boston.craigslist.org/bmw/fuo/4210255109.html
Dec 11,2013/12/11,$250,250.0,2,Thorens TD 166 MK II Turntable,electronics - by owner,boston.craigslist.org/bmw/ele/4239204767.html
Dec  8,2013/12/11,$40,40.0,2,Thomas the Tank Wooden Railway Roundhouse with Roundabout Turntable! ,baby & kid stuff - by owner,boston.craigslist.org/bmw/bab/4234973188.html
Dec 14,2013/12/16,$850,850.0,2,Technics Turntable  1200 M3D,electronics - by owner,boston.craigslist.org/gbs/ele/4243470778.html
Dec 15,2013/12/16,$99,99.0,2,Technics SL-QD35 Turntable w/New Stylus Record Player Phonograph,electronics - by owner,boston.craigslist.org/gbs/ele/4243244749.html
Dec 15,2013/12/16,$50,50.0,2,Technics SL-B350 Turntable,electronics - by owner,boston.craigslist.org/gbs/ele/4245139500.html
Dec  7,2013/12/11,$450,450.0,2,"Technics SL-1200 MK2 Silver Turntable, Working Condition",musical instruments - by owner,boston.craigslist.org/sob/msg/4233871758.html
Dec 12,2013/12/16,$350,350.0,2,Technics MK5 turntable for sale,electronics - by owner,boston.craigslist.org/gbs/ele/4240910661.html
Dec 13,2013/12/16,$850,850.0,2,Technics 1210 M5G Turntable w/ Shure M44-7 Cartridge,musical instruments - by owner,boston.craigslist.org/gbs/msg/4242329824.html
Dec 10,2013/12/11,$200,200.0,2,Technichs SL-1700mk2 Turntable,musical instruments - by owner,boston.craigslist.org/sob/msg/4238121581.html
Dec 11,2013/12/11,$295,295.0,2,THORENS TD 160 Turntable-NOS Cartridge-PERFECT W/Manual,electronics - by owner,boston.craigslist.org/gbs/ele/4239260038.html
Dec  9,2013/12/11,$60,60.0,2,Stereo System with turntable,electronics - by owner,boston.craigslist.org/gbs/ele/4235934211.html
Dec  3,2013/12/11,$150,150.0,2,Stanton dj turntables set,musical instruments - by owner,boston.craigslist.org/nos/msg/4226836060.html
Dec  7,2013/12/11,$29,29.0,2,"Sharp Carousel II microwave, 16"" glass turntable",electronics - by owner,boston.craigslist.org/bmw/ele/4209083303.html
Dec  6,2013/12/11,$60,60.0,2,Record Player Turntable - Numark TT1610 ,musical instruments - by owner,boston.craigslist.org/gbs/msg/4232381034.html
Dec 14,2013/12/16,$60,60.0,2,Realistic Stereo System w/Record Player / Turntable & Speakers,electronics - by owner,boston.craigslist.org/gbs/ele/4241786606.html
Dec 10,2013/12/11,$60,60.0,2,Realistic LAB-2100 Linear Tracking Direct Drive Turntable,electronics - by owner,boston.craigslist.org/gbs/ele/4210586035.html
Dec 10,2013/12/11,$150,150.0,2,Philips Hi-Fi Turntable,electronics - by owner,boston.craigslist.org/sob/ele/4192167781.html
Dec 15,2013/12/16,$500,500.0,2,Phase Linear Mdl 8000 Turntable Rare and NM,electronics - by owner,boston.craigslist.org/sob/ele/4244748898.html
Dec  3,2013/12/11,$40,40.0,2,Panasonic Turntable ,electronics - by owner,boston.craigslist.org/nos/ele/4227484328.html
Dec  4,2013/12/11,$90,90.0,2,PS3 DJ hero with case/stand and turntable..and more,video gaming - by owner,boston.craigslist.org/sob/vgm/4229230207.html
Dec 16,2013/12/16,$95,95.0,2,Onkyo CP-1027f Direct Drive Turntable,electronics - by owner,boston.craigslist.org/sob/ele/4247008489.html
Dec  5,2013/12/11,$20,20.0,2,Odyssey FZ1200 Turntable Hard Case,musical instruments - by owner,boston.craigslist.org/gbs/msg/4230103184.html
Dec  3,2013/12/11,$75,75.0,2,Numark iDJ3 Mixer/Turntable,musical instruments - by owner,boston.craigslist.org/gbs/msg/4226611873.html
Dec  9,2013/12/11,$250,250.0,2,Numark Pro TT1+ DJ Turntable - with Ortofon DJ S stylus,musical instruments - by owner,boston.craigslist.org/gbs/msg/4195662023.html
Dec 13,2013/12/16,$70,70.0,2,Numark PT-01 USB Vinyl Archiver (Portable USB Turntable),electronics - by owner,boston.craigslist.org/gbs/ele/4242288175.html
Dec  9,2013/12/11,$60,60.0,2,Numark PT-01 Portable USB Turntable,musical instruments - by owner,boston.craigslist.org/gbs/msg/4224167521.html
Dec  9,2013/12/11,$750,750.0,2,Numark NS7 DJ Controller Turntable w/Large Music Library and Extras,electronics - by owner,boston.craigslist.org/gbs/ele/4213808013.html
Dec  9,2013/12/11,$80,80.0,2,Numark -direct drive- turntable ,musical instruments - by owner,boston.craigslist.org/nos/msg/4231171929.html
Dec 14,2013/12/16,$250,250.0,2,Luxman turntable PD272,electronics - by owner,boston.craigslist.org/nwb/ele/4243649937.html
Dec  9,2013/12/11,$65,65.0,2,LP Records & Excel Cond Turntable,collectibles - by owner,boston.craigslist.org/gbs/clt/4236241282.html
Dec 11,2013/12/11,$95,95.0,2,Kincaid stereo cabinet with sliding turntable shelf,furniture - by owner,boston.craigslist.org/bmw/fuo/4239723381.html
Dec 10,2013/12/11,$50,50.0,2,KLH model 20 turntable,electronics - by owner,boston.craigslist.org/gbs/ele/4237422592.html
Dec 12,2013/12/16,$10,10.0,2,Infantino next steps musical toy piano with turntables,baby & kid stuff - by owner,boston.craigslist.org/sob/bab/4241541124.html
Dec  9,2013/12/11,$50,50.0,2,ION USB Turntable - Never Used,electronics - by owner,boston.craigslist.org/nwb/ele/4236876050.html
Oct 29,2013/12/11,$100,100.0,2,Grundig Fonovox type 960 cabinet style radio/turntable,electronics - by owner,boston.craigslist.org/bmw/ele/4159343469.html
Oct 29,2013/12/11,$60,60.0,2,Green FLUD Turntable Watch DJ,jewelry - by owner,boston.craigslist.org/gbs/jwl/4159388279.html
Dec 11,2013/12/11,$85,85.0,2,GE Turntable Microwave,appliances - by owner,boston.craigslist.org/gbs/app/4240173929.html
Dec 11,2013/12/11,$25,25.0,2,GE Turntable Microwave,appliances - by owner,boston.craigslist.org/nos/app/4233310959.html
Dec  7,2013/12/11,$9,9.0,2,"GARRARD VINTAGE 4HF TURNTABLE OPERATING, INSTALLATION & SERVICE MANUAL",electronics - by owner,boston.craigslist.org/bmw/ele/4233709497.html
Dec  3,2013/12/11,$125,125.0,2,FISHER-AMPLIFIER-SYNTHESIZER-CD CHANGER/TURNTABLE,electronics - by owner,boston.craigslist.org/gbs/ele/4227413256.html
Dec  5,2013/12/11,$60,60.0,2,Dual 1219 Turntable,electronics - by owner,boston.craigslist.org/bmw/ele/4230892652.html
Dec  7,2013/12/11,$40,40.0,2,"DUAL CS-503-1 ""AUDIOPHILE CONCEPT"" TURNTABLE",electronics - by owner,boston.craigslist.org/nos/ele/4232846941.html
Dec  5,2013/12/11,$250,250.0,2,DUAL 1229 TURNTABLE ,electronics - by owner,boston.craigslist.org/gbs/ele/4221375847.html
Dec  9,2013/12/11,$50,50.0,2,DJ hero 1 w/turntable and guitar hero 3 guitar  ,electronics - by owner,boston.craigslist.org/gbs/ele/4236477754.html
Dec  4,2013/12/11,$125,125.0,2,DJ Turntable/Controller,electronics - by owner,boston.craigslist.org/gbs/ele/4227772915.html
Dec  9,2013/12/11,$1000,1000.0,2,DJ EQUIPMENT Denon DN-S3700 CD USB MIDI Turntables & Coffin ,electronics - by owner,boston.craigslist.org/gbs/ele/4229469160.html
Dec 10,2013/12/11,$50,50.0,2,Crosley Record Player Turntable 1930's Look,electronics - by owner,boston.craigslist.org/gbs/ele/4237961244.html
Dec 14,2013/12/16,$45,45.0,2,Crosley Record Player Turntable 1930's Look,electronics - by owner,boston.craigslist.org/gbs/ele/4237961244.html
